Chr	Start	End	CytoBand	#Gene_name
1	11869	14412	p36.33	DDX11L1
1	14363	29806	p36.33	WASH7P
1	29554	31109	p36.33	MIR1302-10
1	29554	31109	p36.33	MIR1302-11
1	29554	31109	p36.33	MIR1302-2
1	29554	31109	p36.33	MIR1302-9
1	34554	36081	p36.33	FAM138A
1	52473	54936	p36.33	OR4G4P
1	62948	63887	p36.33	OR4G11P
1	69091	70008	p36.33	OR4F5
1	131025	134836	p36.33	CICP27
1	157784	157887	p36.33	RNU6-1100P
1	329431	332236	p36.33	CICP7
1	367640	368634	p36.33	OR4F29
1	379105	379467	p36.33	WBP1LP7
1	564442	564813	p36.33	MTND1P23
1	565020	566063	p36.33	MTND2P28
1	568915	569121	p36.33	MTATP8P1
1	569076	569756	p36.33	MTATP6P1
1	610222	610645	p36.33	WBP1LP6
1	621059	622053	p36.33	OR4F16
1	657472	660283	p36.33	CICP3
1	693613	693716	p36.33	RNU6-1199P
1	752751	755214	p36.33	FAM87B
1	761586	762902	p36.33	LINC00115
1	762988	794826	p36.33	LINC01128
1	803451	812283	p36.33	FAM41C
1	808672	809729	p36.33	TUBB8P11
1	860260	879955	p36.33	SAMD11
1	879584	894689	p36.33	NOC2L
1	895967	901095	p36.33	KLHL17
1	901877	911245	p36.33	PLEKHN1
1	910579	917497	p36.33	C1orf170
1	934342	935552	p36.33	HES4
1	948803	949920	p36.33	ISG15
1	955503	991496	p36.33	AGRN
1	1006346	1009687	p36.33	RNF223
1	1017198	1051741	p36.33	C1orf159
1	1102484	1102578	p36.33	MIR200B
1	1103243	1103332	p36.33	MIR200A
1	1104385	1104467	p36.33	MIR429
1	1108436	1114935	p36.33	TTLL10-AS1
1	1109264	1133315	p36.33	TTLL10
1	1138888	1142071	p36.33	TNFRSF18
1	1146706	1149518	p36.33	TNFRSF4
1	1152288	1167411	p36.33	SDF4
1	1167629	1170421	p36.33	B3GALT6
1	1167629	1170421	p36.33	B3GALT6
1	1177826	1182102	p36.33	FAM132A
1	1189289	1209265	p36.33	UBE2J2
1	1215816	1227409	p36.33	SCNN1D
1	1227756	1244989	p36.33	ACAP3
1	1243947	1247057	p36.33	PUSL1
1	1246965	1260071	p36.33	CPSF3L
1	1260136	1264277	p36.33	GLTPD1
1	1266694	1270686	p36.33	TAS1R3
1	1270656	1284730	p36.33	DVL1
1	1288069	1297157	p36.33	MXRA8
1	1309110	1310875	p36.33	AURKAIP1
1	1321091	1334708	p36.33	CCNL2
1	1337288	1342693	p36.33	MRPL20
1	1340841	1341132	p36.33	RN7SL657P
1	1353800	1357149	p36.33	ANKRD65
1	1361508	1363167	p36.33	TMEM88B
1	1370241	1378262	p36.33	VWA1
1	1385069	1405538	p36.33	ATAD3C
1	1407143	1433228	p36.33	ATAD3B
1	1447531	1470067	p36.33	ATAD3A
1	1470554	1475833	p36.33	TMEM240
1	1477053	1510249	p36.33	SSU72
1	1533392	1535476	p36.33	C1orf233
1	1550795	1565990	p36.33	MIB2
1	1567474	1570639	p36.33	MMP23B
1	1570603	1590473	p36.33	CDK11B
1	1592939	1624167	p36.33	SLC35E2B
1	1631369	1633249	p36.33	MMP23A
1	1634169	1655766	p36.33	CDK11A
1	1656277	1677431	p36.33	SLC35E2
1	1682671	1711896	p36.33	NADK
1	1716729	1822495	p36.33	GNB1
1	1846266	1848735	p36.33	CALML6
1	1849029	1850712	p36.33	TMEM52
1	1853396	1935276	p36.33	C1orf222
1	1950780	1962192	p36.33	GABRD
1	1981909	2116834	p36.33	PRKCZ
1	2115903	2144159	p36.33	C1orf86
1	2160134	2241558	p36.33	SKI
1	2252692	2323146	p36.32	MORN1
1	2323267	2336883	p36.32	RER1
1	2336236	2345236	p36.32	PEX10
1	2336236	2345236	p36.32	PEX10
1	2357419	2436969	p36.32	PLCH2
1	2439972	2458039	p36.32	PANK4
1	2460184	2461684	p36.32	HES5
1	2487078	2496821	p36.32	TNFRSF14
1	2517930	2522908	p36.32	FAM213B
1	2522078	2564481	p36.32	MMEL1
1	2567415	2718286	p36.32	TTC34
1	2938046	2939465	p36.32	ACTRT2
1	2976179	2985001	p36.32	LINC00982
1	2985732	3355185	p36.32	PRDM16
1	3370990	3397677	p36.32	ARHGEF16
1	3406484	3528059	p36.32	MEGF6
1	3477259	3477354	p36.32	MIR551A
1	3541566	3546691	p36.32	TPRG1L
1	3547331	3569325	p36.32	WRAP73
1	3569084	3652765	p36.32	TP73
1	3652548	3663900	p36.32	TP73-AS1
1	3668962	3688209	p36.32	CCDC27
1	3689352	3692546	p36.32	SMIM1
1	3696784	3713068	p36.32	LRRC47
1	3699379	3699673	p36.32	RN7SL574P
1	3728645	3773778	p36.32	CEP104
1	3773845	3801993	p36.32	DFFB
1	3805689	3816857	p36.32	C1orf174
1	3816936	3833789	p36.32	LINC01134
1	4714792	4852594	p36.32	AJAP1
1	5624131	5624203	p36.31	MIR4417
1	5922732	5922801	p36.31	MIR4689
1	5922871	6052533	p36.31	NPHP4
1	5922871	6052533	p36.31	NPHP4
1	6051526	6161253	p36.31	KCNAB2
1	6161853	6240183	p36.31	CHD5
1	6241329	6269449	p36.31	RPL22
1	6265535	6281359	p36.31	RNF207
1	6281253	6296032	p36.31	ICMT
1	6296300	6299504	p36.31	LINC00337
1	6304252	6305638	p36.31	HES3
1	6307406	6321035	p36.31	GPR153
1	6324329	6454451	p36.31	ACOT7
1	6472478	6484730	p36.31	HES2
1	6484848	6521430	p36.31	ESPN
1	6489894	6489956	p36.31	MIR4252
1	6521211	6526255	p36.31	TNFRSF25
1	6526152	6580121	p36.31	PLEKHG5
1	6581407	6614595	p36.31	NOL9
1	6600914	6601024	p36.31	RNU6-731P
1	6615241	6639817	p36.31	TAS1R1
1	6640061	6649340	p36.31	ZBTB48
1	6650784	6674667	p36.31	KLHL21
1	6673745	6684093	p36.31	PHF13
1	6684926	6695646	p36.31	THAP3
1	6694228	6761984	p36.31	DNAJC11
1	6845384	7829766	p36.31	CAMTA1
1	7279420	7279584	p36.23	RNU1-8P
1	7429003	7430331	p36.23	CAMTA1-IT1
1	7831329	7841492	p36.23	VAMP3
1	7844380	7905237	p36.23	PER3
1	7903143	7913572	p36.23	UTS2
1	7979907	8000926	p36.23	TNFRSF9
1	8014351	8045565	p36.23	PARK7
1	8014351	8045565	p36.23	PARK7
1	8064464	8086368	p36.23	ERRFI1
1	8266494	8266657	p36.23	RNU1-7P
1	8335184	8335438	p36.23	RN7SL729P
1	8352217	8352323	p36.23	RNU6-991P
1	8377886	8404227	p36.23	SLC45A1
1	8412457	8877702	p36.23	RERE
1	8810489	8811146	p36.23	RPL7P11
1	8846270	8846972	p36.23	RPL7P7
1	8921061	8939308	p36.23	ENO1
1	8935847	8938066	p36.23	ENO1-IT1
1	8938894	8939953	p36.23	ENO1-AS1
