#Chromosome	Start	Stop	RegionID	SU4838	StdDevCoverage	StdDev/Mean
chr1	6484773	6485396	ESPN:NM_031475-1	131,2	43,3	0,33
chr1	6488208	6488562	ESPN:NM_031475-2	487,5	41,5	0,09
chr1	6500238	6500581	ESPN:NM_031475-3	288,1	119,1	0,41
chr1	6500603	6501198	ESPN:NM_031475-4;ESPN:NM_031475-5	229,2	143,8	0,63
chr1	6504458	6504818	ESPN:NM_031475-6	434,1	72,0	0,17
chr1	6505643	6506066	ESPN:NM_031475-7	265,4	94,6	0,36
chr1	6508628	6509229	ESPN:NM_031475-8	152,0	48,0	0,32
chr1	6511588	6512240	ESPN:NM_031475-9;ESPN:NM_031475-10	336,6	67,0	0,20
chr1	6517168	6517239	ESPN:NM_031475-11	429,5	43,6	0,10
chr1	6517248	6517515	ESPN:NM_031475-11;ESPN:NM_031475-12	467,9	51,2	0,11
chr1	6519988	6521068	ESPN:NM_031475-13	476,5	88,2	0,19
chr1	26758691	26758948	DHDDS:NM_024887-1	332,8	71,0	0,21
chr1	26759301	26759583	DHDDS:NM_024887-2	498,3	55,9	0,11
chr1	26764586	26764865	DHDDS:NM_024887-3	527,6	83,2	0,16
chr1	26769141	26769433	DHDDS:NM_024887-4	488,3	45,4	0,09
chr1	26772726	26773007	DHDDS:NM_024887-5	446,3	42,4	0,10
chr1	26773966	26774217	DHDDS:NM_024887-6	475,0	40,3	0,08
chr1	26784211	26784487	DHDDS:NM_024887-7	464,2	82,0	0,18
chr1	26786446	26786707	DHDDS:NM_024887-8	455,4	73,6	0,16
chr1	26795311	26796807	DHDDS:NM_024887-9,1	495,6	68,8	0,14
chr1	26796931	26797871	DHDDS:NM_024887-9,2	494,0	41,0	0,08
chr1	35246712	35247447	GJB3:NM_024009-1	320,9	131,6	0,41
chr1	35247827	35248114	GJB3:NM_001005752-1	433,0	99,8	0,23
chr1	35250267	35252047	GJB3:NM_001005752-2	546,7	57,3	0,10
chr1	41249599	41250162	KCNQ4:NM_004700-1	187,7	185,2	0,99
chr1	41282864	41283101	KCNQ4:NM_004700-2	457,5	115,8	0,25
chr1	41283764	41284002	KCNQ4:NM_004700-3	434,3	55,5	0,13
chr1	41284099	41284424	KCNQ4:NM_004700-4	282,8	91,7	0,32
chr1	41284934	41285221	KCNQ4:NM_004700-5	478,4	96,1	0,20
chr1	41285469	41285728	KCNQ4:NM_004700-6	459,1	33,1	0,07
chr1	41285764	41286007	KCNQ4:NM_004700-7	457,3	61,4	0,13
chr1	41287909	41288087	KCNQ4:NM_004700-8,1	296,2	51,5	0,17
chr1	41288089	41288161	KCNQ4:NM_004700-8,2	220,8	26,7	0,12
chr1	41289689	41290018	KCNQ4:NM_004700-9	365,4	96,7	0,26
chr1	41296674	41297066	KCNQ4:NM_004700-10	400,2	86,5	0,22
chr1	41298614	41298856	KCNQ4:NM_004700-11	354,7	44,7	0,13
chr1	41300554	41300836	KCNQ4:NM_004700-12	475,2	69,8	0,15
chr1	41303259	41303543	KCNQ4:NM_004700-13	429,3	102,5	0,24
chr1	41303899	41306210	KCNQ4:NM_004700-14	489,5	92,9	0,19
chr1	68894422	68894529	RPE65:NM_000329-14,1	239,1	32,5	0,14
chr1	68894547	68895275	RPE65:NM_000329-14,2	442,5	35,2	0,08
chr1	68895277	68895692	RPE65:NM_000329-14,3	473,4	55,3	0,12
chr1	68896667	68897356	RPE65:NM_000329-11;RPE65:NM_000329-12;RPE65:NM_000329-13	486,9	52,0	0,11
chr1	68903797	68904084	RPE65:NM_000329-10	464,5	54,7	0,12
chr1	68904552	68905091	RPE65:NM_000329-8;RPE65:NM_000329-9	460,8	33,2	0,07
chr1	68905162	68905370	RPE65:NM_000329-7	434,6	51,9	0,12
chr1	68906462	68906773	RPE65:NM_000329-6	430,3	51,4	0,12
chr1	68910132	68910640	RPE65:NM_000329-4;RPE65:NM_000329-5	462,1	62,3	0,13
chr1	68912317	68912636	RPE65:NM_000329-3	490,3	40,6	0,08
chr1	68914227	68914485	RPE65:NM_000329-2	376,3	99,9	0,27
chr1	68915497	68915709	RPE65:NM_000329-1	447,6	62,9	0,14
chr1	94458312	94458879	ABCA4:NM_000350-50	463,2	52,4	0,11
chr1	94461582	94461834	ABCA4:NM_000350-49	447,0	80,9	0,18
chr1	94463337	94463732	ABCA4:NM_000350-48	455,6	67,5	0,15
chr1	94466312	94466740	ABCA4:NM_000350-46;ABCA4:NM_000350-47	438,4	102,1	0,23
chr1	94467342	94467615	ABCA4:NM_000350-45	462,7	57,4	0,12
chr1	94470912	94471206	ABCA4:NM_000350-44	468,3	65,4	0,14
chr1	94473107	94473357	ABCA4:NM_000350-43	461,2	76,5	0,17
chr1	94473707	94473921	ABCA4:NM_000350-42	412,5	66,5	0,16
chr1	94474232	94474517	ABCA4:NM_000350-41	462,5	33,6	0,07
chr1	94476272	94476570	ABCA4:NM_000350-40	489,8	57,7	0,12
chr1	94476737	94477015	ABCA4:NM_000350-39	446,7	87,8	0,20
chr1	94480027	94480317	ABCA4:NM_000350-38	393,7	36,6	0,09
chr1	94481212	94481502	ABCA4:NM_000350-37	401,5	62,4	0,16
chr1	94483827	94484224	ABCA4:NM_000350,2-PE36	475,6	57,0	0,12
chr1	94485067	94485384	ABCA4:NM_000350-36	410,9	62,1	0,15
chr1	94486717	94487034	ABCA4:NM_000350-35	457,9	47,0	0,10
chr1	94487122	94487286	ABCA4:NM_000350-34	499,9	37,6	0,08
chr1	94487317	94487564	ABCA4:NM_000350-33	461,2	27,6	0,06
chr1	94488857	94489044	ABCA4:NM_000350-32	410,2	44,3	0,11
chr1	94490427	94490674	ABCA4:NM_000350-31	439,4	51,1	0,12
chr1	94492872	94493131	ABCA4:NM_000350,2-PE30	467,1	68,0	0,15
chr1	94494922	94495274	ABCA4:NM_000350-30	412,4	32,6	0,08
chr1	94495912	94496168	ABCA4:NM_000350-29	400,8	80,1	0,20
chr1	94496467	94496765	ABCA4:NM_000350-28	484,9	75,8	0,16
chr1	94497257	94497673	ABCA4:NM_000350-27	394,5	56,4	0,14
chr1	94502222	94502425	ABCA4:NM_000350-26	425,2	49,0	0,12
chr1	94502622	94502980	ABCA4:NM_000350-25	427,7	38,7	0,09
chr1	94505522	94505781	ABCA4:NM_000350-24	466,5	77,0	0,17
chr1	94506682	94507046	ABCA4:NM_000350-23	459,4	61,8	0,13
chr1	94508232	94508518	ABCA4:NM_000350-22	442,0	80,3	0,18
chr1	94508817	94509105	ABCA4:NM_000350-21	412,5	47,9	0,12
chr1	94510097	94510384	ABCA4:NM_000350-20	426,0	74,6	0,18
chr1	94512392	94512722	ABCA4:NM_000350-19	489,7	80,2	0,16
chr1	94514347	94514589	ABCA4:NM_000350-18	407,7	38,3	0,09
chr1	94517112	94517327	ABCA4:NM_000350-17	441,6	55,7	0,13
chr1	94520592	94520953	ABCA4:NM_000350-16	451,5	73,3	0,16
chr1	94522082	94522462	ABCA4:NM_000350-15	522,5	42,8	0,08
chr1	94526012	94526372	ABCA4:NM_000350-14	426,4	58,0	0,14
chr1	94528062	94528372	ABCA4:NM_000350-13	387,0	79,2	0,20
chr1	94528597	94528956	ABCA4:NM_000350-12	452,4	61,7	0,14
chr1	94543162	94543517	ABCA4:NM_000350-11	485,3	66,1	0,14
chr1	94544117	94544333	ABCA4:NM_000350-10	323,1	106,3	0,33
chr1	94544822	94545099	ABCA4:NM_000350-9	401,3	43,8	0,11
